Index,Nombre,Partido,X,Y,EsVerticeHull
1,"EDWARDS, William Jackson (Jack)",Republican,0.1770,0.1610,1
6,"BUCHANAN, John Hall, Jr.",Republican,0.1460,-0.1180,0
10,"UDALL, Morris King",Democrat,-0.3870,0.0080,0
17,"JOHNSON, Harold Terry",Democrat,-0.4390,0.5030,1
18,"CLAUSEN, Donald Holst",Republican,0.1600,0.0360,0
19,"MOSS, John Emerson",Democrat,-0.5820,0.1910,1
20,"LEGGETT, Robert Louis",Democrat,-0.4680,0.1580,0
22,"BURTON, Phillip",Democrat,-0.6340,-0.3040,1
23,"MILLER, George",Democrat,-0.5520,-0.3980,0
26,"EDWARDS, William Donlon (Don)",Democrat,-0.5990,-0.4190,1
27,"RYAN, Leo Joseph",Democrat,-0.3640,0.0010,0
29,"MINETA, Norman Y.",Democrat,-0.4790,-0.0100,0
30,"McFALL, John Joseph",Democrat,-0.4680,0.4420,0
31,"SISK, Bernice Frederic",Democrat,-0.3880,0.5200,0
33,"KREBS, John Hans",Democrat,-0.2790,-0.1200,0
37,"CORMAN, James Charles",Democrat,-0.5300,0.0980,0
39,"REES, Thomas Mankell",Democrat,-0.4840,-0.2730,0
40,"WAXMAN, Henry Arnold",Democrat,-0.4730,-0.3430,0
41,"ROYBAL, Edward R.",Democrat,-0.6100,-0.1410,0
44,"BURKE, Yvonne Brathwaite",Democrat,-0.5760,-0.1770,0
45,"HAWKINS, Augustus Freeman (Gus)",Democrat,-0.5170,-0.3690,0
46,"DANIELSON, George Elmore",Democrat,-0.4770,0.2560,0
47,"WILSON, Charles Herbert",Democrat,-0.3900,0.3570,0
48,"ANDERSON, Glenn Malcolm",Democrat,-0.2690,-0.0520,0
50,"HANNAFORD, Mark Warren",Democrat,-0.2950,-0.0430,0
51,"LLOYD, James Fredrick",Democrat,-0.2180,-0.0320,0
52,"BROWN, George Edward, Jr.",Democrat,-0.5060,-0.0280,0
54,"PATTERSON, Jerry Mumford",Democrat,-0.3670,0.0070,0
