i_id,s_nombre,s_estado,s_partido,s_voto,f_x,f_y
10721,"EDWARDS, William Jackson (Jack)",AL,Republican Party,Yea,0.177,0.161
5058,"JONES, Robert Emmett, Jr.",AL,Democratic Party,Yea,-0.358,0.866
10706,"BUCHANAN, John Hall, Jr.",AL,Republican Party,Yea,0.146,-0.118
12014,"FLOWERS, Walter",AL,Democratic Party,Yea,-0.147,0.718
7845,"RHODES, John Jacob",AZ,Republican Party,Yea,0.225,-0.033
10566,"UDALL, Morris King",AZ,Democratic Party,Yea,-0.387,0.008
14011,"CONLAN, John Bertrand",AZ,Republican Party,Yea,0.531,0.026
6532,"MILLS, Wilbur Daigh",AR,Democratic Party,Yea,-0.237,0.894
11020,"HAMMERSCHMIDT, John Paul",AR,Republican Party,Yea,0.253,0.239
4957,"JOHNSON, Harold Terry",CA,Democratic Party,Yea,-0.439,0.503
10579,"CLAUSEN, Donald Holst",CA,Republican Party,Yea,0.16,0.036
10599,"LEGGETT, Robert Louis",CA,Democratic Party,Yea,-0.468,0.158
10583,"EDWARDS, William Donlon (Don)",CA,Democratic Party,Yea,-0.599,-0.419
14049,"RYAN, Leo Joseph",CA,Democratic Party,Yea,-0.364,0.001
14257,"MINETA, Norman Y.",CA,Democratic Party,Yea,-0.479,-0.01
6240,"McFALL, John Joseph",CA,Democratic Party,Yea,-0.468,0.442
14246,"KREBS, John Hans",CA,Democratic Party,Yea,-0.279,-0.12
14028,"KETCHUM, William Matthew",CA,Republican Party,Yea,0.348,0.246
14071,"LAGOMARSINO, Robert John",CA,Republican Party,Yea,0.378,-0.267
10790,"REES, Thomas Mankell",CA,Democratic Party,Yea,-0.484,-0.273
14280,"WAXMAN, Henry Arnold",CA,Democratic Party,Yea,-0.473,-0.343
10621,"ROYBAL, Edward R.",CA,Democratic Party,Yea,-0.61,-0.141
14008,"BURKE, Yvonne Brathwaite",CA,Democratic Party,Yea,-0.576,-0.177
10595,"HAWKINS, Augustus Freeman (Gus)",CA,Democratic Party,Yea,-0.517,-0.369
10580,"CLAWSON, Delwin Morgan",CA,Republican Party,Yea,0.483,0.132
14229,"HANNAFORD, Mark Warren",CA,Democratic Party,Yea,-0.295,-0.043
14250,"LLOYD, James Fredrick",CA,Democratic Party,Yea,-0.218,-0.032
14287,"PETTIS, Shirley Neil",CA,Republican Party,Yea,0.209,-0.179
14266,"PATTERSON, Jerry Mumford",CA,Democratic Party,Yea,-0.367,0.007
11055,"WIGGINS, Charles Edward",CA,Republican Party,Yea,0.359,-0.284
10249,"WILSON, Robert Carlton (Bob)",CA,Republican Party,Yea,0.264,-0.265
10633,"VAN DEERLIN, Lionel",CA,Democratic Party,Yea,-0.401,-0.005
14007,"BURGENER, Clair Walter",CA,Republican Party,Yea,0.281,0.019
14282,"WIRTH, Timothy E.",CO,Democratic Party,Yea,-0.293,-0.315
14025,"JOHNSON, James Paul (Jim)",CO,Republican Party,Yea,0.162,-0.249
14002,"ARMSTRONG, William Lester",CO,Republican Party,Yea,0.508,-0.14
13009,"COTTER, William Ross",CT,Democratic Party,Yea,-0.313,0.103
3553,"GIAIMO, Robert Nicholas",CT,Democratic Party,Yea,-0.318,0.093
13029,"McKINNEY, Stewart Brett",CT,Republican Party,Yea,-0.006,-0.609
10587,"FUQUA, Don",FL,Democratic Party,Yea,-0.173,0.715
633,"BENNETT, Charles Edward",FL,Democratic Party,Yea,-0.088,0.421
13047,"YOUNG, Charles William (Bill)",FL,Republican Party,Yea,0.325,-0.112
10588,"GIBBONS, Sam Melville",FL,Democratic Party,Yea,-0.233,0.17
12015,"FREY, Louis, Jr.",FL,Republican Party,Yea,0.244,-0.027
14003,"BAFALIS, Louis Arthur (Skip)",FL,Republican Party,Yea,0.303,0.078
3078,"FASCELL, Dante Bruno",FL,Democratic Party,Yea,-0.4,0.229
13023,"MATHIS, Marvin Dawson",GA,Democratic Party,Yea,-0.04,0.907
11005,"BRINKLEY, Jack Thomas",GA,Democratic Party,Yea,-0.073,0.701
14249,"LEVITAS, Elliott Harris",GA,Democratic Party,Yea,-0.056,0.075
13032,"MURPHY, Morgan Francis",IL,Democratic Party,Yea,-0.399,0.277
2525,"DERWINSKI, Edward Joseph",IL,Republican Party,Yea,0.342,-0.361
14068,"COLLINS, Cardiss",IL,Democratic Party,Yea,-0.552,-0.218
10703,"ANNUNZIO, Frank",IL,Democratic Party,Yea,-0.398,0.351
14228,"HALL, Tim Lee",IL,Democratic Party,Yea,-0.36,0.044
6455,"MICHEL, Robert Henry",IL,Republican Party,Yea,0.372,-0.157
11041,"RAILSBACK, Thomas Fisher",IL,Republican Party,Yea,0.103,-0.446
10517,"FINDLEY, Paul",IL,Republican Party,Yea,0.246,-0.525
8474,"SHIPLEY, George Edward",IL,Democratic Party,Yea,-0.284,0.515
14275,"SIMON, Paul Martin",IL,Democratic Party,Yea,-0.397,-0.224
5900,"MADDEN, Ray John",IN,Democratic Party,Yea,-0.422,0.03
948,"BRADEMAS, John",IN,Democratic Party,Yea,-0.462,-0.061
8084,"ROUSH, John Edward",IN,Democratic Party,Yea,-0.233,0.158
13018,"HILLIS, Elwood Haynes",IN,Republican Party,Yea,0.173,-0.106
14220,"EVANS, David Walter",IN,Democratic Party,Yea,-0.054,0.003
11036,"MYERS, John Thomas",IN,Republican Party,Yea,0.236,0.254
10732,"HAMILTON, Lee Herbert",IN,Democratic Party,Yea,-0.171,-0.053
10742,"JACOBS, Andrew, Jr.",IN,Democratic Party,Yea,-0.07,-0.846
14226,"GRASSLEY, Charles Ernest",IA,Republican Party,Yea,0.361,-0.036
14230,"HARKIN, Thomas Richard (Tom)",IA,Democratic Party,Yea,-0.351,-0.546
14244,"KEYS, Martha Elizabeth",KS,Democratic Party,Yea,-0.231,-0.471
11057,"WINN, Edward Lawrence, Jr. (Larry)",KS,Republican Party,Yea,0.247,-0.033
10559,"SHRIVER, Garner E.",KS,Republican Party,Yea,0.175,-0.06
10625,"SKUBITZ, Joe",KS,Republican Party,Yea,0.189,0.08
6845,"NATCHER, William Huston",KY,Democratic Party,Yea,-0.288,0.575
10710,"CARTER, Tim Lee",KY,Republican Party,Yea,0.08,0.147
7343,"PERKINS, Carl Dewey",KY,Democratic Party,Yea,-0.343,0.332
14060,"TREEN, David Conner",LA,Republican Party,Yea,0.34,0.189
10602,"LONG, Gillis William",LA,Democratic Party,Yea,-0.368,0.604
14218,"EMERY, David Farnham",ME,Republican Party,Yea,0.155,-0.39
10601,"LONG, Clarence Dickinson",MD,Democratic Party,Yea,-0.274,0.098
14021,"HOLT, Marjorie Sewell",MD,Republican Party,Yea,0.368,0.061
14278,"SPELLMAN, Gladys Noon",MD,Democratic Party,Yea,-0.308,-0.216
13008,"BYRON, Goodloe Edgar",MD,Democratic Party,Yea,-0.014,0.513
11019,"GUDE, Gilbert",MD,Republican Party,Yea,-0.028,-0.88
2009,"CONTE, Silvio Ottavio",MA,Republican Party,Yea,-0.023,-0.683
